brad_date,prod_id,ch_no,ch_nm,bom_st_dt,bom_fns_dt,bom_prod_nm,대분류,중분류,소분류,브랜드,세분류,productImgUrl,mUrl,originPrice,price
2024-01-30,4781706632860,17,SK 스토아,2024-01-30 16:41:00,2024-01-30 17:40:58,[AM] (방송에서만)am 글라스 에어프라이어,가전/디지털,주방가전,에어프라이어/튀김기,am,글라스 에어프라이어,http://imagecdn.skstoa.com/goods/195/37244195_g.jpg,http://m.skstoa.com/display/goods/37244195?orderMedia=62&mediaCode=EP01&mediaTarget=001&utm_source=hsmoa&utm_medium=affiliate&utm_campaign=hsmoaonair,99000,72170
2024-01-30,4861706632920,42,NS Shop+,2024-01-30 16:42:00,2024-01-30 17:01:58,완도활전복 왕특특대 14미(106~120g),식품/건강,수산물,해산물/어패류,완도활전복,전복,http://product-image.prod-nsmall.com/itemimg7/33/427/33682427_S.jpg,http://mw.nsmall.com/gate.html?co_cd=182&target=/product/33682427,69900,69900
2024-01-30,3081706633100,2,NS홈쇼핑,2024-01-30 16:45:00,2024-01-30 17:34:58,못난이 참치회 황다랑어 500gX3팩(1.5kg),식품/건강,수산물,수산가공식품,참치회,황다랑어,http://product-image.prod-nsmall.com/itemimg0/33/080/33836080_S.jpg,http://mw.nsmall.com/gate.html?co_cd=181&target=/product/33836080,40900,39900
2024-01-30,2231706633100,38,CJ ONSTYLE+,2024-01-30 16:45:00,2024-01-30 17:44:58,소갈비찜 명작 500g x 7팩/ 총3.5kg,식품/건강,농산물,과일,소갈비찜,명작,http://itemimage.cjonstyle.net/goods_images/20/414/2023670414L.jpg?timestamp=20240105144339,https://display.cjonstyle.com/m/item/2023670414?infl_cd=I0959&utm_medium=pcs&utm_source=livehomeshopping&channelCode=30002002,79900,78900
2024-01-30,7191706633400,22,공영쇼핑,2024-01-30 16:50:00,2024-01-30 17:39:58,귤로장생 제주 레드향 3.5kg*1박스,식품/건강,농산물,과일,제주,레드향,"https://img.publichs.com/ECMCFO/share/product/06/46/78/16900308.png/dims/resize/Q_80,435",https://m.gongyoungshop.kr/gate/selectAliance.do?alcLnkCd=kt&tgUrl=/goods/selectGoodsDetail.do?prdId=11784606,38900,36900
2024-01-30,3621706633400,14,홈&쇼핑,2024-01-30 16:50:00,2024-01-30 17:39:58,완도 자숙 손질전복 大사이즈 20미 + 내장 10팩,식품/건강,수산물,해산물/어패류,완도,전복,http://image.hnsmall.com/images/goods/028/41636028_g.jpg,http://m.hnsmall.com/goods/view/41636028?channel_code=21363&utm_source=OllehPortal&utm_medium=AF&utm_campaign=TV_None_41636028,59900,59900
2024-01-30,3041706633400,10,현대홈쇼핑,2024-01-30 16:50:00,2024-01-30 17:39:58,[NOIZE]23FW 노이즈 쉘파 남녀 코트 테디 후드,패션,유니섹스의류,코트,노이즈,코트,https://image.hmall.com/static/1/8/21/01/2201218131_0.jpg?RS=300X300,https://www.hmall.com/md/pda/itemPtc?slitmCd=2201218131&ReferCode=m09&TcCode=0000001389,98000,98000
2024-01-30,4861706634120,42,NS Shop+,2024-01-30 17:02:00,2024-01-30 17:21:58,완도활전복 왕특특대 14미(106~120g),식품/건강,수산물,해산물/어패류,완도활전복,전복,http://product-image.prod-nsmall.com/itemimg7/33/427/33682427_S.jpg,http://mw.nsmall.com/gate.html?co_cd=182&target=/product/33682427,69900,69900
2024-01-30,2571706635200,36,현대홈쇼핑+샵,2024-01-30 17:20:00,2024-01-30 17:59:58,[U.S. POLO ASSN.] USPA 남성 코튼 웜기모 보아플리스 후드셋업 2종 (상 하의),스포츠레저,스포츠의류,남성티셔츠,POLO ASSN,코튼 웜기모 보아플리스 후드셋업,http://image.hyundaihmall.com/static/7/6/21/32/2132216785_0.jpg,http://m.hyundaihmall.com/front/smItemDetailR.do?pReferCode=dm1&ItemCode=2132216785&utm_source=homemoadata&utm_medium=cps_main&utm_campaign=sale,129000,129000
2024-01-30,4861706635320,42,NS Shop+,2024-01-30 17:22:00,2024-01-30 17:41:58,완도활전복 왕특특대 14미(106~120g),식품/건강,수산물,해산물/어패류,완도활전복,전복,http://product-image.prod-nsmall.com/itemimg7/33/427/33682427_S.jpg,http://mw.nsmall.com/gate.html?co_cd=182&target=/product/33682427,69900,69900
2024-01-30,2701706635800,6,CJ ONSTYLE,2024-01-30 17:30:00,2024-01-30 18:29:58,[대용량구성]프리파라 트라이탄 밀폐용기 대용량 3종,생활/주방,주방용품,물병/보관/밀폐용기,프리파라,밀폐용기,http://itemimage.cjonstyle.net/goods_images/20/713/2003372713L.jpg?timestamp=20220617222928,https://display.cjonstyle.com/m/item/2003372713?infl_cd=I0444&utm_medium=pcs&utm_source=livehomeshopping,69900,62910
